name,UNID,sex,age,class,happy,hair_color,exclusive,greek,smoke,talking_min,texts_sent,live_campus,roomates,austin,commute,UT_sport,height,hw_hours_college,hw_hours_HS,sleep_Tues,sleep_Sat,talking_hrs,sleep_average,happiness_cat
Milissa Detwiler,md9019,Female,18,Freshman,80,brown,10,no,no,2,20,no,2,5,bus,no,"4, 9",5,3,9,9,0.03333333333333333,9,Somewhat happy
Jacinto Saez,js8170,Male,20,Junior,47,black,2,yes,no,40,75,no,2,10,bus,no,"5, 5",21,40,6,9,0.6666666666666666,7.5,Unhappy
Brenton Mccray,bm5560,Male,20,Junior,85,brown,10,no,no,30,500,yes,0,10,walk,yes,"5, 8",10,1,5,5,0.5,5,Happy
Will Dehn,wd1269,Male,19,Sophomore,75,brown,3,yes,only socially,40,100,no,3,10,walk,yes,"5, 0",8,2,6,8,0.6666666666666666,7,Somewhat happy
Sherly Shumate,ss3309,Female,21,Senior,80,brown,10,no,no,15,100,no,3,10,walk,no,"5, 7",12,2,6,10,0.25,8,Somewhat happy
Karena Bourque,kb3798,Female,18,Freshman,90,,5,no,no,30,100,yes,3,8,walk,no,"5, 2",15,5,7,7,0.5,7,Happy
Margurite Mckeever,mm6922,Female,20,Junior,50,black,1,no,no,60,100,no,3,6,walk,no,"5, 3",25,10,5.5,6,1,5.75,Unhappy
Bart Ceja,bc1973,Male,18,Freshman,84,brown,3,no,no,200,100,yes,1,10,walk,no,"5, 9",30,10,7,5,3.3333333333333335,6,Somewhat happy
Ellis Swinson,es9587,Male,18,Freshman,75,black,3,no,only socially,10,100,yes,1,7,walk,no,"6, 0",10,2,7,6,0.16666666666666666,6.5,Somewhat happy
Margie Alan,ma8725,Female,18,Freshman,90,blond,1,yes,no,8,50,yes,1,10,drive,no,"5, 4",15,5,5,5,0.13333333333333333,5,Happy
Tillie Jansson,tj3611,Female,19,Sophomore,50,brown,10,no,no,30,300,no,1,7,bus,yes,"4, 6",20,1,6,9,0.5,7.5,Unhappy
Percy Kreamer,pk4926,Male,18,Freshman,58,brown,3,no,no,30,700,yes,1,7,walk,yes,"5, 3",30,8,5,7,0.5,6,Unhappy
Marlen Teel,mt4103,Female,21,Junior,85,black,5,no,no,15,50,no,0,8,bus,no,"5, 10",21,7,6.5,8,0.25,7.25,Happy
Jacki Losh,jl4166,Female,18,Freshman,70,blond,10,yes,no,30,200,yes,1,10,walk,yes,"5, 9",10,5,7,8,0.5,7.5,Somewhat happy
Lucas Mccleary,lm3780,Male,22,Junior,89,brown,7,no,no,35,1000,no,2,8,walk,no,"5, 8",8,6,9,9,0.5833333333333334,9,Happy
Carry Hite,ch9134,Female,19,Sophomore,80,brown,2,yes,no,60,500,no,2,4,walk,no,"4, 10",50,10,8,9,1,8.5,Somewhat happy
Cathrine Sylvain,cs3598,Female,19,Freshman,70,brown,1,no,no,20,40,no,3,6,walk,no,"4, 11",30,30,7,8,0.3333333333333333,7.5,Somewhat happy
Phebe Josephs,pj8723,Female,18,Freshman,79,brown,10,no,only socially,30,100,no,1,10,bus,no,"5, 2",20,3,8,8,0.5,8,Somewhat happy
Aretha Likes,al8274,Female,20,Freshman,60,red,1,no,no,45,100,no,0,9,bus,no,"6, 2",21,10,6,10,0.75,8,Somewhat happy
Kenna Corbeil,kc2729,Female,18,Freshman,90,brown,4,yes,no,30,200,no,1,10,walk,no,"5, 8",30,7,8,10,0.5,9,Happy
Kenny Gibbon,kg3103,Male,19,Sophomore,85,black,1,no,no,60,100,no,3,10,walk,yes,"5, 5",20,7,5,8,1,6.5,Happy
Abdul Debo,ad6947,Male,19,Sophomore,75,brown,5,no,no,20,240,no,1,8,drive,no,"4, 5",20,4,5.5,7,0.3333333333333333,6.25,Somewhat happy
Candyce Scardina,cs5214,Female,23,Senior,50,black,5,no,no,45,250,no,1,10,bus,no,"5, 5",30,10,9,10,0.75,9.5,Unhappy
Caroyln Keller,ck2072,Female,25,Junior,30,black,10,no,no,69,4,yes,0,7,walk,no,"5, 2",30,20,7,6,1.15,6.5,Unhappy
Dennis Caryl,dc2387,Male,19,Freshman,70,brown,1,no,no,5,50,no,1,8,walk,no,"5, 5",30,5,6,9,0.08333333333333333,7.5,Somewhat happy
Alishia Tomei,at3890,Female,19,Sophomore,90,black,1,no,no,50,500,yes,1,8,walk,no,"6, 1",60,60,7,9,0.8333333333333334,8,Happy
Colin Bigham,cb6431,Male,18,Freshman,80,brown,0,no,no,19,100,yes,1,7,bike,no,"5, 0",20,3,6,5,0.31666666666666665,5.5,Somewhat happy
Cicely Randall,cr9408,Female,19,Sophomore,75,black,10,no,no,300,20,no,3,7,bus,no,"5, 9",20,5,8,8,5,8,Somewhat happy
Delmar Bingham,db4813,Male,18,Freshman,92,blond,4,no,no,12,120,yes,1,9,walk,yes,"5, 1",10,10,8,7,0.2,7.5,Happy
Gil Ochsner,go9914,Male,20,Junior,85,brown,6,no,no,3,300,no,4,10,bus,yes,"5, 6",20,40,6,8,0.05,7,Happy
Trent Crespin,tc1983,Male,18,Freshman,90,brown,1,no,no,60,200,yes,1,10,walk,no,"5, 1",30,9,7,10,1,8.5,Happy
Nina Blan,nb8697,Female,18,Freshman,50,brown,9,no,only socially,80,350,no,3,7,walk,no,"5, 2",20,8,7,9.5,1.3333333333333333,8.25,Unhappy
